Departamento,MODALIDAD DE SERVICIO,VIGENCIA,BENEFICIARIOS,codmpio
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,38,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,20,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,17,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,38,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,71,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,                  - ,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,                  - ,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,104,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,94,41
GUAJIRA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,34,44
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,48,50
META,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,78,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,49,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,64,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,77,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,62,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,46,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,76,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,64,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,114,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,332,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,97,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,46,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,94,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,991,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,619,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,23,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,53,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,19,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,8,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,13,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,2,95
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,57,5
ANTIOQUIA,CENTRO DE ATENCION ESPECIALIZADO,2018,649,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,60,8
ATLANTICO,CENTRO DE ATENCION ESPECIALIZADO,2018,56,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,505,11
BOGOTA,CENTRO DE ATENCION ESPECIALIZADO,2018,316,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,117,13
BOLIVAR,CENTRO DE ATENCION ESPECIALIZADO,2018,108,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,20,15
BOYACA,CENTRO DE ATENCION ESPECIALIZADO,2018,87,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,122,17
CALDAS,CENTRO DE ATENCION ESPECIALIZADO,2018,152,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,42,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,49,19
CAUCA,CENTRO DE ATENCION ESPECIALIZADO,2018,142,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,26,20
CESAR,CENTRO DE ATENCION ESPECIALIZADO,2018,20,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,42,23
CORDOBA,CENTRO DE ATENCION ESPECIALIZADO,2018,                  - ,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,48,25
CUNDINAMARCA,CENTRO DE ATENCION ESPECIALIZADO,2018,71,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,18,27
CHOCO,CENTRO DE ATENCION ESPECIALIZADO,2018,32,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,86,41
HUILA,CENTRO DE ATENCION ESPECIALIZADO,2018,79,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,40,50
META,CENTRO DE ATENCION ESPECIALIZADO,2018,78,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,38,52
NARIÑO,CENTRO DE ATENCION ESPECIALIZADO,2018,70,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,48,54
NORTE DE SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2018,99,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,30,63
QUINDIO,CENTRO DE ATENCION ESPECIALIZADO,2018,87,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,37,66
RISARALDA,CENTRO DE ATENCION ESPECIALIZADO,2018,116,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,212,68
SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2018,306,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,31,73
TOLIMA,CENTRO DE ATENCION ESPECIALIZADO,2018,77,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,621,76
VALLE,CENTRO DE ATENCION ESPECIALIZADO,2018,1286,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,26,85
CASANARE,CENTRO DE ATENCION ESPECIALIZADO,2018,46,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,15,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,7,91
AMAZONAS,CENTRO DE ATENCION ESPECIALIZADO,2018,13,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2018,2,95
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,174,5
ANTIOQUIA,CENTRO DE ATENCION ESPECIALIZADO,2019,330,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,27,8
ATLANTICO,CENTRO DE ATENCION ESPECIALIZADO,2019,58,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,339,11
BOGOTA,CENTRO DE ATENCION ESPECIALIZADO,2019,279,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,108,13
BOLIVAR,CENTRO DE ATENCION ESPECIALIZADO,2019,83,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,25,15
BOYACA,CENTRO DE ATENCION ESPECIALIZADO,2019,76,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,75,17
CALDAS,CENTRO DE ATENCION ESPECIALIZADO,2019,150,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,43,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,52,19
CAUCA,CENTRO DE ATENCION ESPECIALIZADO,2019,131,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,48,20
CESAR,DETENCION DOMICILIARIA HOGAR,2019,1,20
CESAR,CENTRO DE ATENCION ESPECIALIZADO,2019,20,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,86,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,50,25
CUNDINAMARCA,DETENCION DOMICILIARIA HOGAR,2019,1,25
CUNDINAMARCA,CENTRO DE ATENCION ESPECIALIZADO,2019,54,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,27,27
CHOCO,CENTRO DE ATENCION ESPECIALIZADO,2019,32,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,66,41
HUILA,CENTRO DE ATENCION ESPECIALIZADO,2019,52,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,45,50
META,CENTRO DE ATENCION ESPECIALIZADO,2019,70,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,25,52
NARIÑO,CENTRO DE ATENCION ESPECIALIZADO,2019,31,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,110,54
NORTE DE SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2019,97,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,37,63
QUINDIO,CENTRO DE ATENCION ESPECIALIZADO,2019,87,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,53,66
RISARALDA,CENTRO DE ATENCION ESPECIALIZADO,2019,108,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,213,68
SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2019,192,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,34,73
TOLIMA,CENTRO DE ATENCION ESPECIALIZADO,2019,71,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,644,76
VALLE,CENTRO DE ATENCION ESPECIALIZADO,2019,629,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,34,85
CASANARE,CENTRO DE ATENCION ESPECIALIZADO,2019,43,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,17,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,3,91
AMAZONAS,CENTRO DE ATENCION ESPECIALIZADO,2019,8,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2019,2,95
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,165,5
ANTIOQUIA,CENTRO DE ATENCION ESPECIALIZADO,2020,330,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,43,8
ATLANTICO,CENTRO DE ATENCION ESPECIALIZADO,2020,60,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,241,11
BOGOTA,CENTRO DE ATENCION ESPECIALIZADO,2020,245,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,154,13
BOLIVAR,CENTRO DE ATENCION ESPECIALIZADO,2020,72,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,77,15
BOYACA,CENTRO DE ATENCION ESPECIALIZADO,2020,65,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,92,17
CALDAS,CENTRO DE ATENCION ESPECIALIZADO,2020,115,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,46,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,58,19
CAUCA,CENTRO DE ATENCION ESPECIALIZADO,2020,87,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,39,20
CESAR,DETENCIÓN DOMICILIARIA HOGAR,2020,1,20
CESAR,CENTRO DE ATENCION ESPECIALIZADO,2020,20,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,64,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,60,25
CUNDINAMARCA,DETENCIÓN DOMICILIARIA HOGAR,2020,1,25
CUNDINAMARCA,CENTRO DE ATENCION ESPECIALIZADO,2020,52,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,52,27
CHOCO,CENTRO DE ATENCION ESPECIALIZADO,2020,32,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,72,41
HUILA,CENTRO DE ATENCION ESPECIALIZADO,2020,55,41
MAGDALENA,DETENCIÓN DOMICILIARIA HOGAR,2020,1,47
META,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,49,50
META,CENTRO DE ATENCION ESPECIALIZADO,2020,66,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,52,52
NARIÑO,CENTRO DE ATENCION ESPECIALIZADO,2020,35,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,90,54
NORTE DE SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2020,104,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,57,63
QUINDIO,CENTRO DE ATENCION ESPECIALIZADO,2020,76,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,65,66
RISARALDA,CENTRO DE ATENCION ESPECIALIZADO,2020,75,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,214,68
SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2020,203,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,47,73
TOLIMA,CENTRO DE ATENCION ESPECIALIZADO,2020,70,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,437,76
VALLE,CENTRO DE ATENCION ESPECIALIZADO,2020,520,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,66,85
CASANARE,CENTRO DE ATENCION ESPECIALIZADO,2020,38,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,46,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,48,91
AMAZONAS,CENTRO DE ATENCION ESPECIALIZADO,2020,5,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2020,42,95
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,138,5
ANTIOQUIA,CENTRO DE ATENCION ESPECIALIZADO,2021,316,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,31,8
ATLANTICO,CENTRO DE ATENCION ESPECIALIZADO,2021,60,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,157,11
BOGOTA,DETENCIÓN DOMICILIARIA HOGAR,2021,1,11
BOGOTA,CENTRO DE ATENCION ESPECIALIZADO,2021,210,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,35,13
BOLIVAR,CENTRO DE ATENCION ESPECIALIZADO,2021,56,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,7,15
BOYACA,CENTRO DE ATENCION ESPECIALIZADO,2021,34,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,44,17
CALDAS,CENTRO DE ATENCION ESPECIALIZADO,2021,80,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,12,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,23,19
CAUCA,CENTRO DE ATENCION ESPECIALIZADO,2021,62,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,20,20
CESAR,DETENCIÓN DOMICILIARIA HOGAR,2021,1,20
CESAR,CENTRO DE ATENCION ESPECIALIZADO,2021,15,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,59,23
CORDOBA,CENTRO DE ATENCION ESPECIALIZADO,2021,40,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,41,25
CUNDINAMARCA,DETENCIÓN DOMICILIARIA HOGAR,2021,2,25
CUNDINAMARCA,CENTRO DE ATENCION ESPECIALIZADO,2021,42,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,26,27
CHOCO,CENTRO DE ATENCION ESPECIALIZADO,2021,31,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,60,41
HUILA,CENTRO DE ATENCION ESPECIALIZADO,2021,53,41
MAGDALENA,DETENCIÓN DOMICILIARIA HOGAR,2021,1,47
META,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,40,50
META,CENTRO DE ATENCION ESPECIALIZADO,2021,60,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,30,52
NARIÑO,CENTRO DE ATENCION ESPECIALIZADO,2021,34,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,83,54
NORTE DE SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2021,99,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,39,63
QUINDIO,CENTRO DE ATENCION ESPECIALIZADO,2021,71,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,29,66
RISARALDA,CENTRO DE ATENCION ESPECIALIZADO,2021,59,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,171,68
SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2021,171,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,12,73
TOLIMA,CENTRO DE ATENCION ESPECIALIZADO,2021,35,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,589,76
VALLE,CENTRO DE ATENCION ESPECIALIZADO,2021,437,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,32,85
CASANARE,CENTRO DE ATENCION ESPECIALIZADO,2021,24,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,20,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2021,16,91
AMAZONAS,CENTRO DE ATENCION ESPECIALIZADO,2021,7,91
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,122,5
ANTIOQUIA,CENTRO DE ATENCION ESPECIALIZADO,2022,288,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,37,8
ATLANTICO,CENTRO DE ATENCION ESPECIALIZADO,2022,60,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,184,11
BOGOTA,CENTRO DE ATENCION ESPECIALIZADO,2022,174,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,21,13
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,15,13
BOLIVAR,CENTRO DE ATENCION ESPECIALIZADO,2022,53,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,19,15
BOYACA,CENTRO DE ATENCION ESPECIALIZADO,2022,24,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,35,17
CALDAS,CENTRO DE ATENCION ESPECIALIZADO,2022,77,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,10,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,20,19
CAUCA,CENTRO DE ATENCION ESPECIALIZADO,2022,56,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,21,20
CESAR,CENTRO DE ATENCION ESPECIALIZADO,2022,11,20
CESAR,DETENCIÓN DOMICILIARIA HOGAR,2022,1,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,46,23
CORDOBA,CENTRO DE ATENCION ESPECIALIZADO,2022,25,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,49,25
CUNDINAMARCA,CENTRO DE ATENCION ESPECIALIZADO,2022,42,25
CUNDINAMARCA,DETENCIÓN DOMICILIARIA HOGAR,2022,1,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,40,27
CHOCO,CENTRO DE ATENCION ESPECIALIZADO,2022,33,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,58,41
