Departamento,Modalidad de Servicio,Vigencia,Beneficiarios,Vinculación educación,Porcentaje de vinculación,codmpio
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,71,400.0,563.38,25
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,104,96.0,92.31,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,94,99.0,105.32,41
GUAJIRA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,34,30.0,88.24,44
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,48,53.0,110.42,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,78,117.0,150,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,49,41.0,83.67,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,64,128.0,200,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,77,79.0,102.6,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,62,66.0,106.45,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,46,99.0,215.22,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,76,209.0,275,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,64,160.0,250,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,114,231.0,202.63,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,332,24.0,7.23,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,97,445.0,458.76,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,46,122.0,265.22,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,94,175.0,186.17,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,991,1199.0,120.99,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,619,1076.0,173.83,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,23,37.0,160.87,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,53,27.0,50.94,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,19,1.0,5.26,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,8,3.0,37.5,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,13,20.0,153.85,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,2,1.0,50,95
MAGDALENA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,SR,1.0,SR,47
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,SR,8.0,SR,47
PUTUMAYO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,SR,4.0,SR,86
SUCRE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,SR,12.0,SR,70
VAUPES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,SR,2.0,SR,97
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,57,391.0,685.96,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,649,487.0,75.1,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,60,7.0,11.72,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,56,62.0,110.71,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,505,512.0,101.44,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,316,675.0,213.61,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,117,0.0,0,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,108,91.0,84.26,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,20,49.0,248.1,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,87,117.0,134.48,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,122,17.0,13.96,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,152,76.0,50,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,42,38.0,91.02,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,49,26.0,53.06,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,142,257.0,180.99,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,26,5.0,19.42,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,20,28.0,140,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,42,1.0,2.41,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,48,72.0,149.22,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,71,310.0,436.62,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,18,19.0,104.11,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,32,31.0,96.88,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,86,38.0,44.44,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,79,88.0,111.39,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,40,82.0,206.29,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,78,288.0,369.23,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,38,0.0,0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,70,69.0,98.57,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,48,8.0,16.67,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,99,93.0,93.94,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,30,11.0,37.29,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,87,81.0,93.1,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,37,13.0,35.14,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,116,17.0,14.66,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,212,146.0,68.92,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,306,42.0,13.72,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,31,49.0,160.66,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,77,154.0,200,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,621,105.0,16.92,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,1286,564.0,43.86,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,26,14.0,53.85,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,46,34.0,73.91,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,15,13.0,86.67,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,7,0.0,0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,13,14.0,107.69,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,2,1.0,50,95
MAGDALENA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,SR,2.0,SR,47
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,SR,8.0,SR,47
VICHADA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,SR,4.0,SR,99
VICHADA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,SR,2.0,SR,99
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,174,182.0,104.6,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,330,463.0,140.3,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,27,11.0,40.74,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,58,78.0,134.48,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,339,89.0,26.25,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,279,357.0,127.96,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,108,26.0,24.07,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,83,40.0,48.19,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,25,0.0,0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,76,72.0,94.74,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,75,29.0,38.67,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,150,250.0,166.67,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,43,32.0,74.42,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,52,75.0,144.23,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,131,185.0,141.22,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,48,37.0,77.08,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,20,32.0,160,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,86,59.0,68.6,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,50,124.0,248,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,54,231.0,427.78,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,27,0.0,0,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,32,72.0,225,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,66,44.0,66.67,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,52,99.0,190.38,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,45,33.0,73.33,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,70,113.0,161.43,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,25,0.0,0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,31,0.0,0,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,110,44.0,40,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,97,180.0,185.57,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,37,0.0,0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,87,104.0,119.54,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,53,5.0,9.43,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,108,102.0,94.44,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,213,145.0,68.08,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,192,259.0,134.9,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,34,23.0,67.65,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,71,134.0,188.73,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,644,96.0,14.91,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,629,569.0,90.46,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,34,0.0,0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,43,47.0,109.3,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,17,14.0,82.35,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,3,0.0,0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,8,8.0,100,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,2,1.0,50,95
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,SR,5.0,SR,47
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,165,0.0,0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,330,676.0,204.85,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,43,5.0,11.63,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,60,56.0,93.33,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,241,67.0,27.8,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,245,656.0,267.76,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,154,14.0,9.09,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,72,77.0,106.94,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,77,0.0,0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,65,0.0,0,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,92,22.0,23.91,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,115,178.0,154.78,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,46,15.0,32.61,18
CAQUETA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,3.0,SR,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,58,21.0,36.21,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,87,175.0,201.15,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,39,15.0,38.46,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,20,15.0,75,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,64,25.0,39.06,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,60,126.0,210,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,52,88.0,169.23,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,52,11.0,21.15,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,32,42.0,131.25,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,72,56.0,77.78,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,55,52.0,94.55,41
MAGDALENA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,SR,1.0,SR,47
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,6.0,SR,47
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,49,8.0,16.33,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,66,57.0,86.36,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,52,17.0,32.69,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,35,56.0,160,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,90,12.0,13.33,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,104,97.0,93.27,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,57,10.0,17.54,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,76,118.0,155.26,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,65,18.0,27.69,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,75,62.0,82.67,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,214,148.0,69.16,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,203,75.0,36.95,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,47,16.0,34.04,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,70,82.0,117.14,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,437,63.0,14.42,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,520,490.0,94.23,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,66,17.0,25.76,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,38,27.0,71.05,85
