Departamento,Modalidad de Servicio,Vigencia,Beneficiarios,Vinculación educación,codmpio
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,48,72.0,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,71,310.0,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,18,19.0,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,32,31.0,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,86,38.0,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,79,88.0,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,40,82.0,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,78,288.0,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,38,0.0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,70,69.0,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,48,8.0,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,99,93.0,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,30,11.0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,87,81.0,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,37,13.0,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,116,17.0,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,212,146.0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,306,42.0,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,31,49.0,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,77,154.0,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,621,105.0,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,1286,564.0,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,26,14.0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,46,34.0,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,15,13.0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,7,0.0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,13,14.0,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,2,1.0,95
MAGDALENA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,SR,2.0,47
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,SR,8.0,47
VICHADA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,SR,4.0,99
VICHADA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,SR,2.0,99
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,174,182.0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,330,463.0,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,27,11.0,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,58,78.0,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,339,89.0,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,279,357.0,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,108,26.0,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,83,40.0,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,25,0.0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,76,72.0,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,75,29.0,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,150,250.0,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,43,32.0,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,52,75.0,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,131,185.0,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,48,37.0,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,20,32.0,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,86,59.0,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,50,124.0,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,54,231.0,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,27,0.0,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,32,72.0,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,66,44.0,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,52,99.0,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,45,33.0,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,70,113.0,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,25,0.0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,31,0.0,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,110,44.0,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,97,180.0,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,37,0.0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,87,104.0,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,53,5.0,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,108,102.0,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,213,145.0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,192,259.0,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,34,23.0,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,71,134.0,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,644,96.0,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,629,569.0,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,34,0.0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,43,47.0,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,17,14.0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,3,0.0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,8,8.0,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2019,2,1.0,95
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2019,SR,5.0,47
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,165,0.0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,330,676.0,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,43,5.0,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,60,56.0,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,241,67.0,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,245,656.0,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,154,14.0,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,72,77.0,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,77,0.0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,65,0.0,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,92,22.0,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,115,178.0,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,46,15.0,18
CAQUETA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,3.0,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,58,21.0,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,87,175.0,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,39,15.0,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,20,15.0,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,64,25.0,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,60,126.0,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,52,88.0,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,52,11.0,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,32,42.0,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,72,56.0,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,55,52.0,41
MAGDALENA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,SR,1.0,47
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,6.0,47
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,49,8.0,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,66,57.0,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,52,17.0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,35,56.0,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,90,12.0,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,104,97.0,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,57,10.0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,76,118.0,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,65,18.0,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,75,62.0,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,214,148.0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,203,75.0,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,47,16.0,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,70,82.0,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,437,63.0,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,520,490.0,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,66,17.0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,38,27.0,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,46,11.0,88
SAN ANDRES,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,5.0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,48,1.0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,5,11.0,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,42,2.0,95
GUAVIARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,8.0,95
PUTUMAYO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,1.0,86
SUCRE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,SR,2.0,70
SUCRE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,4.0,70
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,138,0.0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,316,557.0,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,31,18.0,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,60,33.0,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,157,180.0,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,210,871.0,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,35,47.0,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,56,77.0,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,7,0.0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,34,23.0,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,44,13.0,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,80,67.0,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,12,11.0,18
